Title,Genres,Actors,Directors,Synopsis,Rating
Elevation,"Action, Science Fiction, Thriller","Anthony Mackie, Morena Baccarin, Maddie Hasson",George Nolfi,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,6.483
Night Nurse,Comedy,"Gloria Guida, Lino Banfi, Alvaro Vitali",Mariano Laurenti,"A dentist invites a elderly patient to stay at his home to recover, unaware that he is a jewel thief. He plans to steal a valuable diamond but then runs into a beautiful nurse who, aside from constantly stripping nude, has plans of her own.",5.2
Last Breath,"Thriller, Drama","Woody Harrelson, Simu Liu, Finn Cole",Alex Parkinson,Seasoned deep-sea divers battle the raging elements to rescue their crewmate trapped hundreds of feet below the ocean's surface.,6.844
Back in Action,"Action, Comedy","Jamie Foxx, Cameron Diaz, McKenna Roberts",Seth Gordon,"Fifteen years after vanishing from the CIA to start a family, elite spies Matt and Emily jump back into the world of espionage when their cover is blown.",6.5
Your Fault,"Romance, Drama","Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,7.133
Wicked,"Drama, Romance, Fantasy","Cynthia Erivo, Ariana Grande, Jeff Goldblum",Jon M. Chu,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",6.9
Los Frikis,Drama,"Adria Arjona, Héctor Medina, Eros de la Puente","Michael Schwartz, Tyler Nilson","Gustavo idolizes his older brother Paco and his punk, ""Frikis"" bandmates. When word reaches the Frikis of a potential reprieve from the effects of the economic crisis, they do the now unthinkable: deliberately inject themselves with HIV to live at a government-run treatment home. It's there that they create their own utopia to live and play music freely.",5.333
Ellie and the Monster Team,"Animation, Family, Comedy",,"Jesper Møller, Piet De Rycker, Jens Møller","When a homeless little ghost knocks on the door to the eccentric residents of a Ghost Train on the lookout for a place to belong, she accidentally attracts the attention from the outside world and must team up with the motley crew of monsters on a crazy quest to save not only the future of the Ghost Train but also her only chance to finally have a family of her own.",5.8
Devara : Part 1,"Action, Drama","N.T. Rama Rao Jr., Saif Ali Khan, Prakash Raj",Koratala Siva,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",6.978
Sniper: The Last Stand,"Action, Thriller","Chad Michael Collins, Ryan Robbins, Sharon Taylor",Danishka Esterhazy,"To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.",6.69
"Miraculous World: London, At the Edge of Time","Animation, Adventure, Action, Fantasy","Annouck Hautbois, Benjamin Bollen, Marie Nonnenmacher",Thomas Astruc,"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",7.253
365 Days: This Day,"Romance, Drama","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna","Tomasz Mandes, Barbara Białowąs","Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",5.9
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy","William Moseley, Anna Popplewell, Skandar Keynes",Andrew Adamson,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",7.133
Paddington in Peru,"Family, Comedy, Adventure","Ben Whishaw, Hugh Bonneville, Emily Mortimer",Dougal Wilson,"Paddington travels to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown Family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey through the Amazon rainforest and up to the mountain peaks of Peru.",6.877
Apocalypse Z: The Beginning of the End,"Drama, Action, Horror","Francisco Ortiz, José María Yázpik, Berta Vázquez",Carles Torrens,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",6.723
The Cousin,"Comedy, Drama","Massimo Ranieri, Dayle Haddon, Christian De Sica",Aldo Lado,"Italian coming of age story about two cousins, Enzo and Agata, told in three stages.",5.4
Spirited Away,"Animation, Family, Fantasy","Rumi Hiiragi, Miyu Irino, Mari Natsuki",Hayao Miyazaki,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",8.536
Top Gun: Maverick,"Action, Drama","Tom Cruise, Miles Teller, Monica Barbaro",Joseph Kosinski,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.2
The Glassworker,"Animation, Family, Romance, War","Sacha Dhawan, Anjli Mohindra, Art Malik",Usman Riaz,A young glassworker-in-training living with his pacifist father finds his apprenticeship upended by an impending war and the arrival of an army colonel to their seaside town.,7.2
Nosferatu,"Fantasy, Horror","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård",Robert Eggers,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",6.706
Kiskisan,Drama,"Apple Dy, Skye Gonzaga, Juan Calma",Bobby Bonifacio,"A steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught.",7.5
The Bayou,"Thriller, Horror, Action","Elisha Applebaum, Madalena Aragão, David Newman","Taneli Mustonen, Brad Watson","Vacation turns disaster when Houston grad Kyle and her friends survive a plane crash in the desolate Louisiana everglades, only to discover there's something way more dangerous lurking in the shallows.",6.164
Avengers: Infinity War,"Adventure, Action, Science Fiction","Robert Downey Jr., Chris Evans, Chris Hemsworth","Anthony Russo, Joe Russo","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.236
The Gardener,"Action, Comedy","Jean-Claude Van Damme, Michaël Youn, Nawell Madani",David Charhon,"Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.",6.313
Absolution,"Action, Crime, Thriller, Mystery, Family","Liam Neeson, Ron Perlman, Yolonda Ross",Hans Petter Moland,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",5.935
The Avengers,"Science Fiction, Action, Adventure","Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.734
Fast X,"Action, Crime, Thriller, Adventure, Mystery","Vin Diesel, Michelle Rodriguez, Tyrese Gibson",Louis Leterrier,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.048
Bad Boys: Ride or Die,"Action, Comedy, Crime, Thriller, Adventure","Will Smith, Martin Lawrence, Vanessa Hudgens","Adil El Arbi, Bilall Fallah","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.383
The Lord of the Rings: The War of the Rohirrim,"Animation, Fantasy, Adventure, Action","Brian Cox, Gaia Wise, Luke Pasqualino",Kenji Kamiyama,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",6.664
Control Freak,Horror,"Kelly Marie Tran, Miles Robbins, Kieu Chinh",Shal Ngo,"A motivational speaker, plagued by an uncontrollable itch on her head, becomes infected with a parasitic demon from her homeland.",5.5
The Island,"Action, Crime, Thriller","Michael Jai White, Jackson Rathbone, Gillian White",Shaun Paul Piccinino,"When his brother is killed, LAPD officer Mark leaves the city to return to the island he grew up on. Seeking answers and ultimately vengeance, he soon finds himself in a bloody battle with the corrupt tycoon who's taken over the island paradise.",6.218
Minecraft: Il Film di Pete,"Comedy, Adventure","Mario Palladino, Steve, Pete",Mario Palladino,,0.0
Sex Education Mistresses,Comedy,"Michiko Tsukasa, Rie Nakagawa, Yūko Katagiri",Akira Kato,"An erotic comedy depicting the sex adventures of  young wives living in an apartment complex, that are not satisfied with just having sex with their husbands.",5.5
Pabrik Gula,"Horror, Thriller","Ersya Aurelia, Arbani Yasiz, Erika Carlina",Awi Suryadi,"A group of young men and women who work as seasonal workers in a sugar factory face terror from the kingdom of demons where the factory is located. They must find out the cause of the demons' anger, before the terror ends their lives.",6.2
Minecraft: Through the Nether Portal,Documentary,,Billy Simpson,"Minecraft: Through the Nether Portal takes you on a journey through the ever-evolving, epic game of Minecraft. Its popularity is opening up a whole new world for this generation, with millions of new players signing up each week. With exclusive interviews from industry experts and Minecraft’s biggest YouTube players, Dan TDM and Ali-A, we look at how the game is now being used as a tool for education and teaching while digging deeper into the creativity behind the game.",4.0
Gladiator,"Action, Drama, Adventure","Russell Crowe, Joaquin Phoenix, Connie Nielsen",Ridley Scott,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",8.218
Blade Runner 2049,"Science Fiction, Drama","Ryan Gosling, Harrison Ford, Ana de Armas",Denis Villeneuve,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",7.577
Alien: Romulus,"Horror, Science Fiction","Cailee Spaeny, David Jonsson, Archie Renaux",Fede Álvarez,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",7.207
Avatar,"Action, Adventure, Fantasy, Science Fiction","Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.588
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",Chris Columbus,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",7.902
Operation Undead,"Horror, Action, Thriller","Chanon Santinatornkul, Awat Ratanapintha, Guntapat Kasemsan Na Ayudhya",Kongkiat Khomsiri,"Inexperienced Thai soldiers battle a growing undead menace in this gruesome survival horror. A Japanese military experiment that turns men into monsters escapes containment, it’s up to these troops to save their nation from annihilation.",3.8
The Super Mario Bros. Movie,"Family, Comedy, Adventure, Animation","Chris Pratt, Anya Taylor-Joy, Charlie Day","Aaron Horvath, Michael Jelenic","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",7.624
Room in Rome,"Drama, Romance","Elena Anaya, Natasha Yarovenko, Enrico Lo Verso",Julio Medem,"A hotel room in the center of Rome serves as the setting for Alba and Natasha, two sexy and recently acquainted women, to have a physical adventure that touches their very souls.",6.404
The X-Treme Riders,"Action, Crime","Jirayu La-ongmanee, Wawaa Nichari Chokprajakchat, Chaleeda Gilbert",Sor Sangchai,"A fast-paced action drama about siblings desperately needing money for their mother's treatment. Then the brother, who is the stunt performer, inevitably needs to be involved with.",8.1
Spider-Man: No Way Home,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",7.946
Titanic,"Drama, Romance","Leonardo DiCaprio, Kate Winslet, Billy Zane",James Cameron,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",7.905
Mar.IA,"Horror, Thriller, Science Fiction","Malena Sánchez, Sofía Gala Castiglione, Juan Palomino","Gabriel Grieco, Nicanor Loreti","Alina is a movie sound engineer. One day she receives an offer to do the direct sound for an erotic film featuring Maria Black, a famous star of the genre who had already retired. When Maria has a heart attack and dies in the middle of the shoot, and the producers decide not to call the police, a series of sinister and unexpected events are unleashed that will endanger everyone's lives.",0.0
Werewolves,"Action, Horror, Thriller","Frank Grillo, Katrina Law, Ilfenesh Hadera",Steven C. Miller,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",6.196
Uppercut,"Drama, Thriller","Ving Rhames, Luise Grossmann, Jordan E. Cooper",Torsten Rüther,"When Elliott, a tough ex-boxing champion, accepts the challenge to train Toni, the two mismatched characters form an unlikely alliance. Their sparring and Elliott's keen insights show the resilient young fighter that real strength comes from the challenges you overcome when life throws its biggest punches your way.",3.938
Attack on Titan: THE LAST ATTACK,"Animation, Action, Adventure, Fantasy","Yuki Kaji, Yui Ishikawa, Marina Inoue",Yuichiro Hayashi,"A colossal-sized omnibus film bringing together the last two episodes of Attack on Titan in the franchise's first-ever theatrical experience. After venturing beyond the walls and separated from his comrades, Eren finds himself inspired by this new truth and plots the ""Rumbling,"" a terrifying plan to eradicate every living thing in the world. With the fate of the world hanging in the balance, a motley crew of Eren's former comrades and enemies scramble to halt his deadly mission. The only question is, can they stop him?",8.6
Shrek,"Animation, Comedy, Fantasy, Adventure, Family","Mike Myers, Eddie Murphy, Cameron Diaz","Andrew Adamson, Vicky Jenson","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",7.749
The Maze Runner,"Action, Mystery, Science Fiction, Thriller","Dylan O'Brien, Kaya Scodelario, Aml Ameen",Wes Ball,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",7.189
The Dark Knight,"Drama, Action, Crime, Thriller","Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.519
Groper Train: Touch That Girl,,"Shouko Oginome, Kyoko Hashimoto, Shinobu Kawana",Mototsugu Watanabe,Pink film from 1988,2.0
Smile 2,"Horror, Mystery","Naomi Scott, Rosemarie DeWitt, Lukas Gage",Parker Finn,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",6.6
Piglet,Horror,"Alina Desmond, Alex Butler, Lauren Staerck",Andrea M. Catinella,"On Kate's 21st birthday camping trip, her friends encounter Piglet, a monstrous human-pig hybrid who brutally murders one of them. They uncover Piglet's origins and Kate must confront her past to survive the relentless killer.",5.9
Alone In The Night,"Action, Comedy, Drama","Pablo Gómez-Pando, Andrea Carballo, Alfonso Sánchez",Guillermo Rojas,"A group of labour lawyers hide in a house when the coup d'état of 23F takes place in Spain. Unsure of what to do, they debate between fleeing the country, staying in hiding or trying to do something to defend Spain's young democracy.",5.8
John Wick: Chapter 4,"Action, Thriller, Crime","Keanu Reeves, Donnie Yen, Bill Skarsgård",Chad Stahelski,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.721
TRON: Ares,Science Fiction,"Jared Leto, Greta Lee, Evan Peters",Joachim Rønning,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",0.0
Dune: Part Two,"Science Fiction, Adventure","Timothée Chalamet, Zendaya, Rebecca Ferguson",Denis Villeneuve,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",8.147
Girl Play,"Comedy, Romance","Lacie Harmon, Robin Greenspan, Mink Stole",Lee Friedlander,"Two real-life lesbian actresses meet by chance when they are cast as lovers in a local stage play, and end up actually falling in love. Robin, who is married to her girlfriend for half a dozen years, and Lacie, someone who never had a lasting relationship, are both cast to play lesbian lovers in a Los Angeles stage play. Innocently, the stage director, Gabriel runs the actresses through a series of rehearsals designed to ""bring out the intimacy"" in each performer. Soon the two women find themselves increasingly and undeniably attracted to each other and overcome with desire. They must ask themselves whether this relationship is manufactured, created for the sake of the ""girl play"", or is true love.",5.4
Night Call,"Thriller, Action","Jonathan Feltre, Natacha Krief, Jonas Bloquet",Michiel Blanchart,"Mady, a student, works as a locksmith by night. He helps Claire get into her apartment and soon realizes that she lied to him about her identity and robbed something that belonged to a dangerous man, Yannick. Mady gets embroiled in a manhunt and will have one night to prove his innocence.",6.771
Dirty Angels,"Action, Drama, Thriller, War","Eva Green, Maria Bakalova, Ruby Rose",Martin Campbell,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",6.185
Kung Fu Panda 4,"Animation, Family, Action, Comedy, Adventure, Fantasy","Jack Black, Awkwafina, Viola Davis",Mike Mitchell,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",7.071
Tatsulok,"Drama, Romance","Mariane Saint, Marlon Marcia, Skye Gonzaga",Jojo Nadela,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",5.4
Novocaine,"Action, Comedy, Thriller","Jack Quaid, Amber Midthunder, Ray Nicholson","Dan Berk, Robert Olsen","When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",6.97
Mesa de regalos,Comedy,"José Eduardo Derbez, Cassandra Sánchez Navarro, Verónica Bravo",Noé Santillán-López,"Nicolás and Antonia are two inseparable friends who are far from the emotional and professional stability that all their acquaintances have achieved. After attending countless weddings, they come up with a plan as bold as it is ingenious: to fund their dreams by organizing their own fake wedding! They announce their ""secret love,"" plan a big celebration, and at the crucial moment, Antonia is to leave Nicolás standing at the altar. Confident that the scandal will discourage guests from claiming their gifts, they plan to split the loot. However, unexpected feelings begin to arise, which could complicate their brilliant plan.",8.667
Five Nights at Freddy's,"Horror, Thriller","Josh Hutcherson, Piper Rubio, Elizabeth Lail",Emma Tammi,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",7.5
Survive,"Science Fiction, Thriller, Adventure, Action","Émilie Dequenne, Andreas Pietschmann, Lisa Delamar",Frédéric Jardin,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,5.837
Howl's Moving Castle,"Fantasy, Animation, Adventure","Chieko Baisho, Takuya Kimura, Akihiro Miwa",Hayao Miyazaki,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",8.397
Victoria,Animation,,Robert Sahakyants,Wordless animated fim from Robert Sahakyants,0.0
Fight Club,Drama,"Edward Norton, Brad Pitt, Helena Bonham Carter",David Fincher,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",8.438
La zia di Monica,Comedy,"Magda Konopka, Karin Well, Gianni Dei",Giorgio Mille,,5.0
Mission: Impossible - The Final Reckoning,"Action, Adventure, Thriller","Tom Cruise, Hayley Atwell, Ving Rhames",Christopher McQuarrie,"After escaping a calamitous train crash, Ethan realizes The Entity is stashed aboard an old Russian submarine, but a foe from his past named Gabriel is also on the trail.",0.0
Parthenope,"Romance, Drama","Celeste Dalla Porta, Stefania Sandrelli, Gary Oldman",Paolo Sorrentino,"Parthenope, born in the sea near Naples in 1950, is beautiful, enigmatic, and intelligent. She is shamelessly courted by many. However, beauty comes at a cost.",6.9
Pleasure,Drama,"Sofia Kappel, Zelda Morrison, Tee Reel",Ninja Thyberg,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",6.28
The Matrix,"Action, Science Fiction","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",8.2
The Brutalist,Drama,"Adrien Brody, Felicity Jones, Guy Pearce",Brady Corbet,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.",7.06
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.344
Niko: Beyond the Northern Lights,"Animation, Family, Fantasy","Matthew Whelan, Emma Jenkins, Paul Tylak",Kari Juusonen,"Niko the reindeer joins his father in Santa's Flying Forces, but when Santa's sleigh is stolen by an acquaintance, Niko must find it in time for Christmas.",7.7
Carry-On,"Thriller, Action","Taron Egerton, Jason Bateman, Sofia Carson",Jaume Collet-Serra,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,6.896
Girl Play,"Comedy, Romance","Lacie Harmon, Robin Greenspan, Mink Stole",Lee Friedlander,"Two real-life lesbian actresses meet by chance when they are cast as lovers in a local stage play, and end up actually falling in love. Robin, who is married to her girlfriend for half a dozen years, and Lacie, someone who never had a lasting relationship, are both cast to play lesbian lovers in a Los Angeles stage play. Innocently, the stage director, Gabriel runs the actresses through a series of rehearsals designed to ""bring out the intimacy"" in each performer. Soon the two women find themselves increasingly and undeniably attracted to each other and overcome with desire. They must ask themselves whether this relationship is manufactured, created for the sake of the ""girl play"", or is true love.",5.4
Promised Hearts,"Drama, Romance","Beby Tsabina, Deva Mahenra, Caitlin Halderman",Anggy Umbara,A young woman's future is jeopardized by a secret arrangement that throws her life into chaos — but it may be the only way to save her family.,4.95
Coco,"Family, Animation, Music, Adventure","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",Lee Unkrich,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",8.204
Anastasia,"Drama, TV Movie","Peter Cushing, Malcolm Russell, Anthony Ireland",,"Set 16 years after the execution of the Tsar and his family by the Bolsheviks. Exiles Prince Bounine and his friends come up with a scheme to con money by claiming an imposter to be Princess Anastasia who escaped the shootings. They find a poor woman who is close to suicide and both looks the part and speaks Russian. All they need to do is train her for her role, enough to convince other members of the ex-Royal household and family also in exile.",0.0
Inception,"Action, Science Fiction, Adventure","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",Christopher Nolan,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.369
Babygirl,Drama,"Nicole Kidman, Harris Dickinson, Antonio Banderas",Halina Reijn,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,5.821
Test,"Drama, Thriller","R. Madhavan, Nayanthara, Siddharth",S. Sashikanth,"The worlds of three ordinary people converge during a historic cricket match, ultimately forcing them to make life-altering decisions.",5.6
Oppenheimer,"Drama, History","Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,8.067
Coraline,"Animation, Family, Fantasy","Dakota Fanning, Teri Hatcher, Jennifer Saunders",Henry Selick,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",7.889
Conclave,"Drama, Thriller, Mystery","Ralph Fiennes, Stanley Tucci, John Lithgow",Edward Berger,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",7.191
Godzilla x Kong: The New Empire,"Action, Adventure, Science Fiction","Rebecca Hall, Brian Tyree Henry, Dan Stevens",Adam Wingard,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",7.097
